SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,BIT,MI,deltaRI,QualityFlag
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,2.786,0.456411654,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,2.89,0.532853947,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,3.028,0.425260427,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,3.085,0.462598988,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,3.24,0.475226428,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,3.281,0.425260427,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,3.334,0.462598988,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,3.436,0.459494907,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,3.448,0.464158883,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,3.561,0.445782286,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.1,0
